Category,Language,Aspect,Count,Aspect_Category,Negative,Neutral,Positive
Unknown,German,thema,31,thema,13,12,6
PostDoc,German,arbeit,39,arbeit,24,2,13
Professor,German,arbeit,27,arbeit,19,0,8
Others,German,arbeit,29,arbeit,13,3,13
Unknown,German,arbeit,22,arbeit,17,3,2
PostDoc,German,artikel,35,promotion,14,5,16
Professor,German,artikel,22,promotion,5,3,14
Others,German,artikel,23,promotion,5,8,10
Unknown,German,artikel,15,promotion,6,6,3
PostDoc,German,ministerin,33,ministerin,27,6,0
Professor,German,ministerin,22,ministerin,17,3,2
Others,German,ministerin,30,ministerin,26,3,1
PostDoc,German,debatte,32,thema,23,6,3
Professor,German,debatte,20,thema,11,6,3
Others,German,debatte,36,thema,22,12,2
Unknown,German,debatte,17,thema,14,2,1
PostDoc,German,hochschulen,31,hochschule,27,2,2
Professor,German,hochschulen,37,hochschule,31,0,6
Others,German,hochschulen,30,hochschule,23,2,5
Unknown,German,hochschulen,14,hochschule,14,0,0
PostDoc,German,punkt,31,stelle,9,10,12
Professor,German,punkt,30,stelle,12,9,9
Others,German,punkt,21,stelle,7,10,4
Unknown,German,punkt,17,stelle,8,9,0
PostDoc,German,promotion,30,promotion,14,8,8
PhD Student,German,promotion,16,promotion,7,6,3
Professor,German,promotion,33,promotion,20,7,6
Others,German,promotion,31,promotion,16,12,3
Unknown,German,promotion,42,promotion,28,11,3
PostDoc,German,vertrag,30,vertrag,21,8,1
Professor,German,vertrag,13,vertrag,7,4,2
Others,German,vertrag,14,vertrag,11,3,0
Unknown,German,vertrag,28,vertrag,14,10,4
PostDoc,German,projekt,29,projekt,19,6,4
Professor,German,projekt,14,projekt,10,3,1
Others,German,projekt,15,projekt,9,3,3
PostDoc,German,zeit,29,zeit,21,5,3
Professor,German,zeit,21,zeit,16,4,1
Others,German,zeit,17,zeit,8,7,2
Unknown,German,zeit,13,zeit,7,5,1
PostDoc,German,professoren,27,professur,22,3,2
Professor,German,professoren,17,professur,13,2,2
Unknown,German,professoren,14,professur,12,2,0
PostDoc,German,mitarbeiter,27,arbeit,20,0,7
Professor,German,mitarbeiter,22,arbeit,13,6,3
Others,German,mitarbeiter,24,arbeit,18,2,4
Unknown,German,mitarbeiter,13,arbeit,10,2,1
PostDoc,German,Professor,26,professur,17,4,5
Professor,German,Professor,19,professur,11,2,6
Others,German,Professor,15,professur,10,3,2
Unknown,German,Professor,19,professur,9,5,5
PostDoc,German,systems,24,wissenschaft,14,4,6
Professor,German,systems,11,wissenschaft,11,0,0
Unknown,German,systems,12,wissenschaft,10,2,0
PostDoc,German,forschung,24,forschung,16,2,6
Professor,German,forschung,22,forschung,10,1,11
Unknown,German,forschung,13,forschung,7,4,2
PostDoc,German,profs,23,professur,15,5,3
Professor,German,profs,23,professur,14,2,7
PostDoc,German,finanzierung,23,geld,19,3,1
Professor,German,finanzierung,20,geld,15,4,1
Others,German,finanzierung,17,geld,15,2,0
Unknown,German,finanzierung,15,geld,12,3,0
PostDoc,German,bedingungen,23,grund,19,2,2
PhD Student,German,bedingungen,14,grund,13,0,1
Professor,German,bedingungen,15,grund,11,2,2
Others,German,bedingungen,18,grund,15,1,2
PostDoc,German,argument,23,thema,17,4,2
Professor,German,argument,18,thema,15,3,0
Unknown,German,argument,13,thema,10,2,1
PD,German,argument,14,thema,13,1,0
PostDoc,German,buch,22,bmbf,3,6,13
PostDoc,German,reform,22,mittelbau,14,4,4
Professor,German,reform,28,mittelbau,17,6,5
Others,German,reform,37,mittelbau,20,8,9
PostDoc,German,leben,21,arbeit,11,6,4
Professor,German,leben,16,arbeit,9,6,1
Others,German,leben,18,arbeit,7,10,1
Unknown,German,leben,27,arbeit,9,17,1
PostDoc,German,interview,21,problem,2,5,14
Professor,German,interview,15,problem,2,1,12
Others,German,interview,13,problem,1,7,5
PostDoc,German,kosten,21,geld,20,0,1
Professor,German,kosten,18,geld,18,0,0
Unknown,German,kosten,13,geld,9,2,2
PostDoc,German,unis,20,uni,17,1,2
Professor,German,unis,19,uni,17,2,0
Others,German,unis,14,uni,12,1,1
Unknown,German,unis,15,uni,14,0,1
PostDoc,German,karriere,20,arbeit,15,5,0
Professor,German,karriere,12,arbeit,7,4,1
Others,German,karriere,12,arbeit,10,2,0
Unknown,German,karriere,16,arbeit,8,6,2
PostDoc,German,verwaltung,19,arbeit,17,1,1
Others,German,verwaltung,12,arbeit,9,0,3
PostDoc,German,kinder,19,stelle,9,9,1
Professor,German,kinder,12,stelle,5,6,1
Unknown,German,kinder,11,stelle,6,4,1
PostDoc,German,workshop,19,arbeit,2,12,5
Professor,German,workshop,29,arbeit,0,29,0
PostDoc,German,lage,19,forschung,11,6,2
Others,German,lage,22,forschung,19,3,0
PostDoc,German,professuren,18,professur,13,2,3
Professor,German,professuren,49,professur,42,4,3
Others,German,professuren,11,professur,10,1,0
Unknown,German,professuren,22,professur,17,2,3
PD,German,professuren,14,professur,11,2,1
PostDoc,German,problem,18,problem,16,1,1
Professor,German,problem,12,problem,10,2,0
PostDoc,German,beitrag,18,projekt,1,3,14
Professor,German,beitrag,13,projekt,4,2,7
Others,German,beitrag,13,projekt,3,2,8
PostDoc,German,projekte,18,projekt,14,1,3
Professor,German,projekte,11,projekt,9,1,1
PostDoc,German,wissenschaftssystem,18,wissenschaft,14,0,4
Professor,German,wissenschaftssystem,21,wissenschaft,17,1,3
PostDoc,German,person,16,mensch,12,2,2
Professor,German,person,14,mensch,12,1,1
Unknown,German,person,14,mensch,9,3,2
PostDoc,German,aspekt,16,perspektive,6,7,3
PostDoc,German,bezahlung,16,geld,13,1,2
Professor,German,bezahlung,11,geld,6,0,5
Others,German,bezahlung,21,geld,16,3,2
Unknown,German,bezahlung,12,geld,9,0,3
PostDoc,German,mittel,15,mittelbau,11,1,3
PostDoc,German,text,14,wort,6,3,5
Others,German,text,12,wort,4,2,6
PostDoc,German,chance,14,jahr,7,3,4
Unknown,German,chance,12,jahr,4,5,3
