Category,Language,Aspect_Adj,Count
Others,German,forschung___lang,10
Professor,German,forschung___richtig,10
Others,German,uni___gut,10
Professor,German,wissenschaftssystem___prekär,10
PostDoc,English,academia___new,10
PostDoc,German,teil___groß,10
Others,English,research___german,10
PostDoc,German,uni___fest,10
PostDoc,English,academic___great,10
PostDoc,English,time___new,10
Professor,English,work___precarious,10
Professor,English,time___german,10
PostDoc,German,uni___schlecht,10
PostDoc,German,wissenschaftler___gut,10
PostDoc,English,germany___precarious,10
Unknown,German,wissenschaft___wissenschaftlich,10
PostDoc,German,thread___deutsch,10
Unknown,German,jahr___schlecht,10
Professor,German,wissenschaft___dauerstell,10
Others,German,forschung___deutsch,10
Professor,German,system___wichtig,10
PostDoc,German,hochschule___wissenschaftlich,10
Unknown,German,situation___prekär,10
PostDoc,German,arbeit___gut,10
PostDoc,German,arbeit___wichtig,10
PostDoc,English,academic___non,10
PostDoc,German,forschung___dauerstell,10
Professor,German,wissenschaft___politisch,10
PostDoc,English,research___new,10
PostDoc,German,situation___befristet,10
Unknown,German,zeit___befristet,10
Others,German,arbeit___befristet,10
Others,German,zeit___hoch,10
Professor,German,thema___wichtig,10
Others,German,arbeitsbedingung___akademisch,10
PostDoc,German,deutschland___deutsch,10
Unknown,German,promotion___befristet,10
PostDoc,English,thing___german,10
Professor,German,bedingung___gut,10
PostDoc,German,hochschule___prekär,10
PostDoc,English,university___great,10
PostDoc,German,zeit___akademisch,10
PhD Student,German,jahr___alt,10
PostDoc,German,professor___aktuell,10
PostDoc,English,contract___precarious,10
PostDoc,English,academic___young,10
Others,English,germany___academic,10
Professor,German,leute___gut,10
PostDoc,German,kind___lang,10
Professor,German,wissenschaft___dauerhaft,10
Professor,German,forschung___nachhaltig,10
Professor,German,lehre___digital,10
Unknown,German,wissenschaft___groß,10
Others,German,forschung___groß,10
Unknown,German,wissenschaft___richtig,10
Professor,German,wissenschaft___beruflich,10
Professor,English,time___permanent,10
Others,German,mensch___befristet,10
PostDoc,German,zeit___hoch,10
PostDoc,German,thema___wissenschaftlich,10
Unknown,German,universität___deutsch,10
Unknown,English,scholar___german,10
Others,German,deutschland___wissenschaftlich,10
Unknown,German,arbeitsvertrag___unbefristet,10
Others,German,thema___wichtig,10
Professor,German,problem___prekär,10
PostDoc,German,jahr___richtig,10
Professor,German,postdoc___unbefristet,10
Professor,German,situation___prekär,9
Professor,German,wissenschaftler___befristet,9
Professor,German,promotion___tenur,9
PostDoc,German,problem___kurz,9
Others,English,job___academic,9
PostDoc,German,beitrag___gut,9
Professor,English,university___new,9
Others,English,researcher___early,9
PostDoc,German,wissenschaft___echt,9
Others,German,wissenschaftler___lang,9
PostDoc,German,wissenschaft___falsch,9
Professor,German,system___exzellent,9
PostDoc,German,mittelbau___wissenschaftlich,9
Unknown,German,leute___befristet,9
Professor,German,wissenschaft___forschend,9
PostDoc,German,postdoc___alt,9
PostDoc,German,jahr___schlecht,9
PostDoc,German,problem___lang,9
Others,German,universität___befristet,9
PostDoc,German,wissenschaft___ständig,9
PostDoc,German,system___unbefristet,9
Professor,German,zeit___befristet,9
Professor,German,forschung___forschend,9
Professor,German,system___akademisch,9
Professor,German,stelle___wissenschaftlich,9
Unknown,German,karriere___akademisch,9
PostDoc,German,wissenschaft___sicher,9
Others,German,zeit___lang,9
Unknown,German,problem___groß,9
Unknown,German,job___unbefristet,9
Others,German,hochschule___beschäftigt,9
Professor,German,forschung___gut,9
PostDoc,German,problem___individuell,9
PostDoc,German,kind___befristet,9
PostDoc,English,thread___academic,9
PostDoc,English,research___long,9
Others,German,beschäftigung___befristet,9
Professor,German,generation___nachfolgend,9
Others,German,hochschule___dauerstell,9
Professor,German,wissenschaft___unattraktiv,9
Unknown,German,uni___lang,9
Professor,English,germany___precarious,9
PostDoc,German,jahr___arbeitslos,9
PostDoc,German,gesetz___unbefristet,9
Others,German,problem___prekär,9
Others,German,studium___prekär,9
Professor,German,forschung___exzellent,9
Unknown,German,stelle___prekär,9
PostDoc,English,germany___temporary,9
PostDoc,English,system___current,9
PostDoc,German,beschäftigung___unbefristet,9
PostDoc,English,postdoc___good,9
PostDoc,German,woche___wissenschaftlich,9
Unknown,German,arbeitsbedingung___schlecht,9
PostDoc,German,postdoc___deutsch,9
Others,German,wissenschaftler___wichtig,9
Unknown,English,academia___precarious,9
Professor,German,glück___groß,9
Professor,German,problem___gut,9
Others,German,karriere___akademisch,9
Professor,English,people___german,9
Professor,German,thema___groß,9
Professor,German,forschung___prekär,9
Professor,German,wissenschaft___alt,9
Professor,German,jahr___arbeitslos,9
PostDoc,German,wissenschaftler___wissenschaftlich,9
Professor,German,thema___prekär,9
Professor,German,problem___deutsch,9
Others,German,unsicherheit___ständig,9
PostDoc,German,forschung___schlecht,9
Professor,German,professur___prekär,9
PostDoc,German,kopf___gut,9
Professor,German,arbeitsbedingung___aktuell,9
Others,German,wissenschaftler___akademisch,9
Others,German,wissenschaft___forschend,9
Others,German,arbeitsbedingung___wichtig,9
Professor,English,researcher___young,9
Others,English,contract___academic,9
PostDoc,English,germany___international,9
Professor,German,wissenschaft___langfristig,9
PostDoc,German,monat___nächst,9
PostDoc,English,academic___temporary,9
Professor,German,promotion___wissenschaftlich,9
Professor,German,hochschule___aktuell,9
PhD Student,German,jahr___lang,9
PostDoc,English,year___new,9
Professor,German,sicherheit___beruflich,9
PostDoc,English,academic___structural,9
Others,German,uni___kurz,9
Others,German,wissenschaft___berliner,9
Professor,German,hochschule___befristet,9
PostDoc,German,forschung___akademisch,9
PostDoc,English,scholar___precarious,9
PostDoc,German,system___kaputt,9
PostDoc,German,zeit___wichtig,9
Professor,German,wissenschaft___richtig,9
Others,German,wissenschaft___sicher,9
PostDoc,English,researcher___permanent,9
Professor,German,hochschule___deutsch,9
PostDoc,German,forschung___exzellent,9
PostDoc,German,debatte___prekär,9
Unknown,German,vertrag___alt,9
Professor,German,system___wissenschaftlich,9
Professor,German,system___groß,9
PostDoc,German,stelle___wissenschaftlich,9
Professor,German,professur___entfristet,9
Unknown,German,wissenschaft___befristet,9
PostDoc,English,work___short,9
Professor,English,research___permanent,9
PostDoc,German,monat___kurz,9
Others,German,wissenschaft___hoch,9
Professor,German,wissenschaft___fair,9
PostDoc,German,problem___prekär,9
PostDoc,German,wissenschaftler___lang,9
Others,German,promotion___wissenschaftlich,9
PostDoc,German,system___befristet,9
PostDoc,German,uni___akademisch,8
Others,German,hochschule___unbefristet,8
PostDoc,German,wissenschaft___langfristig,8
Unknown,German,uni___gut,8
Professor,German,jahr___aktuell,8
Unknown,German,uni___groß,8
PostDoc,German,wissenschaftler___alt,8
Others,English,term___german,8
Unknown,English,work___precarious,8
Professor,German,forschung___deutsch,8
PostDoc,English,research___great,8
PostDoc,German,problem___systemisch,8
PostDoc,German,arbeit___groß,8
Unknown,German,monat___befristet,8
Professor,German,stelle___prekär,8
Unknown,English,year___german,8
PostDoc,English,way___german,8
PostDoc,English,thing___academic,8
Professor,German,system___lang,8
Professor,English,germany___early,8
Others,German,mitarbeiter___befristet,8
PostDoc,German,uni___aktiv,8
Professor,English,colleague___dear,8
PostDoc,German,hanna___lang,8
Others,German,unsicherheit___befristet,8
Professor,German,forschung___befristet,8
Professor,German,professur___lang,8
PostDoc,German,kollege___deutsch,8
Others,German,system___akademisch,8
Unknown,German,wissenschaft___wisszeitvg,8
PostDoc,German,problem___akademisch,8
Professor,German,wissenschaft___attraktiv,8
Others,German,forschung___stark,8
PostDoc,German,uni___dauerstell,8
PostDoc,German,zeit___wissenschaftlich,8
Others,German,hanna___prekär,8
Professor,English,postdoc___german,8
Professor,German,mensch___befristet,8
Professor,German,promotion___befristet,8
Professor,German,forschung___hoch,8
Others,German,professur___tenur,8
Professor,German,wissenschaft___kurz,8
Unknown,German,arbeit___befristet,8
PostDoc,German,kopf___klug,8
PostDoc,English,academic___early,8
Professor,German,promotion___angemessen,8
Others,German,universität___wissenschaftlich,8
PostDoc,German,system___falsch,8
PostDoc,German,uni___hoch,8
PostDoc,English,student___german,8
Others,German,karriere___befristet,8
Unknown,German,wissenschaftler___befristet,8
PostDoc,English,scholar___academic,8
PostDoc,German,stelle___deutsch,8
Professor,German,forschung___lieb,8
PostDoc,German,land___befristet,8
PostDoc,German,problem___wichtig,8
Professor,German,zeit___groß,8
PostDoc,German,professor___richtig,8
Unknown,German,wirtschaft___unbefristet,8
Professor,German,system___schlecht,8
Professor,German,kind___befristet,8
PostDoc,German,perspektive___akademisch,8
Unknown,German,vertrag___lang,8
PostDoc,English,student___academic,8
PostDoc,German,politik___deutsch,8
PostDoc,English,academia___short,8
Others,German,studium___akademisch,8
Others,German,arbeit___aktuell,8
Others,English,contract___temporary,8
Professor,German,forschung___innovativ,8
Others,English,position___academic,8
Others,German,hochschule___gemeinsam,8
PostDoc,German,jahr___kommend,8
PostDoc,German,forschung___wisszeitvg,8
Professor,German,wissenschaft___verlässlich,8
Unknown,German,mittelbau___akademisch,8
Professor,German,zeit___akademisch,8
Others,German,stelle___prekär,8
PostDoc,German,wissenschaftler___marginalisiert,8
Professor,German,thread___lesenswert,8
Others,German,vertrag___alt,8
PostDoc,German,vertrag___alt,8
Unknown,German,vertrag___fest,8
PostDoc,German,thema___spannend,8
PostDoc,German,chance___groß,8
PostDoc,German,diskussion___prekär,8
PostDoc,English,system___precarious,8
PostDoc,German,jahr___langfristig,8
Unknown,German,jahr___deutlich,8
Professor,German,forschung___falsch,8
Others,German,mensch___prekär,8
PostDoc,German,wissenschaft___promoviert,8
PostDoc,German,arbeitsvertrag___wissenschaftlich,8
Professor,German,wissenschaft___ständig,8
PostDoc,German,bedingung___prekär,8
Professor,German,wissenschaft___jahrelang,8
PostDoc,German,mitarbeiter___befristet,8
Professor,German,professur___akademisch,8
PostDoc,English,scientist___permanent,8
Others,English,position___german,8
Professor,German,postdoc___dauerstell,8
Unknown,German,problem___deutsch,8
Professor,German,debatte___aktuell,8
PostDoc,English,system___great,8
PostDoc,German,karriere___deutsch,8
