Category,Language,Aspect,Count,Aspect_Category,Negative,Neutral,Positive
PostDoc,German,personal,85,mensch,52,30,3
Others,German,perspektive,121,perspektive,39,60,22
PostDoc,German,perspektive,176,perspektive,81,60,35
Professor,German,perspektive,134,perspektive,59,46,29
Unknown,German,perspektive,78,perspektive,47,24,7
Others,German,politik,75,politik,42,25,8
PostDoc,German,politik,98,politik,60,29,9
Professor,German,politik,77,politik,46,20,11
Unknown,German,politik,69,politik,43,20,6
Others,German,prof,83,professur,31,41,11
PostDoc,German,prof,89,professur,51,25,13
Professor,German,prof,88,professur,50,29,9
Unknown,German,prof,82,professur,52,19,11
Others,German,professur,96,professur,48,44,4
PD,German,professur,71,professur,43,22,6
PhD Student,German,professur,57,professur,32,22,3
PostDoc,German,professur,226,professur,145,60,21
Professor,German,professur,308,professur,187,95,26
Unknown,German,professur,112,professur,74,28,10
Others,German,projekt,102,projekt,47,42,13
PostDoc,German,projekt,144,projekt,67,49,28
Professor,German,projekt,130,projekt,57,58,15
Unknown,German,projekt,69,projekt,36,22,11
Others,German,promotion,182,promotion,80,78,24
PhD Student,German,promotion,90,promotion,58,21,11
PostDoc,German,promotion,229,promotion,103,99,27
Professor,German,promotion,251,promotion,124,111,16
Unknown,German,promotion,198,promotion,125,52,21
Others,German,reform,102,mittelbau,35,48,19
PostDoc,German,reform,52,mittelbau,25,19,8
Professor,German,reform,83,mittelbau,39,34,10
Others,German,semester,54,academia,24,24,6
PostDoc,German,semester,54,academia,30,19,5
Unknown,German,semester,64,academia,40,14,10
Others,German,situation,97,situation,50,36,11
PostDoc,German,situation,120,situation,74,33,13
Professor,German,situation,80,situation,50,17,13
Unknown,German,situation,59,situation,40,16,3
Others,German,stelle,149,stelle,87,45,17
PhD Student,German,stelle,73,stelle,48,17,8
PostDoc,German,stelle,270,stelle,158,87,25
Professor,German,stelle,262,stelle,154,81,27
Unknown,German,stelle,183,stelle,111,55,17
Others,German,studium,147,academia,69,57,21
PostDoc,German,studium,95,academia,56,31,8
Professor,German,studium,76,academia,45,22,9
Unknown,German,studium,147,academia,97,26,24
Others,German,stunde,67,stelle,25,33,9
PostDoc,German,stunde,79,stelle,32,34,13
Unknown,German,stunde,53,stelle,21,25,7
Others,German,tag,111,mittelbau,42,42,27
PostDoc,German,tag,142,mittelbau,77,40,25
Professor,German,tag,78,mittelbau,43,13,22
Unknown,German,tag,122,mittelbau,63,27,32
Others,German,thema,237,thema,55,129,53
PhD Student,German,thema,77,thema,30,25,22
PostDoc,German,thema,255,thema,99,104,52
Professor,German,thema,156,thema,62,66,28
Unknown,German,thema,151,thema,77,49,25
Others,German,uhr,184,jahr,22,137,25
